start_date,end_date,day,status,discipline,discipline_code,event,event_medal,phase,gender,event_type,venue,venue_code,location,location_code,id
2026-02-10T14:32:00+01:00,2026-02-10T15:22:00+01:00,2026-02-10,FINISHED,Skeleton,SKN,Men,0,Men Official Training,M,INDV,Cortina Sliding Centre,CSC,Cortina Sliding Centre,CSC,SKNMSINGLES-----------TRNO000400--
2026-02-10T16:40:00+01:00,2026-02-10T19:10:00+01:00,2026-02-10,FINISHED,Ice Hockey,IHO,Women,0,Women's Preliminary Round - Group B,W,TEAM,Milano Rho Ice Hockey Arena,MH2,Milano Rho Ice Hockey Arena,MH2,IHOWTEAM6-------------GPB-001000--
2026-02-10T17:00:00+01:00,2026-02-10T17:47:00+01:00,2026-02-10,FINISHED,Luge,LUG,Women's Singles,0,Women's Singles Competition,W,INDV,Cortina Sliding Centre,CSC,Cortina Sliding Centre,CSC,LUGWSINGLES-----------FNL-000300--
2026-02-10T17:30:00+01:00,2026-02-10T18:25:00+01:00,2026-02-10,FINISHED,Ski Jumping,SJP,Mixed Team,0,Mixed Team,X,DGRP,Predazzo Ski Jumping Stadium,PSJ,Predazzo Ski Jumping-Normal Hill,PNH,SJPXNHTEAM4-----------FNL-TR01SJ--
2026-02-10T18:05:00+01:00,2026-02-10T20:00:00+01:00,2026-02-10,FINISHED,Curling,CUR,Mixed Doubles,1,Mixed Doubles Finals,X,TEAM,Cortina Curling Olympic Stadium,CCU,Cortina Curling Olympic Stadium- Sheet C,CUC,CURXTEAM2-------------FNL-000101--
2026-02-10T18:30:00+01:00,2026-02-10T22:43:40+01:00,2026-02-10,FINISHED,Figure Skating,FSK,Men Single Skating,0,Men Single Skating - Short Program,M,INDV,Milano Ice Skating Arena,MSK,Milano Ice Skating Arena-Competition Rink,MSC,FSKMSINGLES-----------QUAL000100--
2026-02-10T18:34:00+01:00,2026-02-10T19:12:00+01:00,2026-02-10,FINISHED,Luge,LUG,Women's Singles,1,Women's Singles Competition,W,INDV,Cortina Sliding Centre,CSC,Cortina Sliding Centre,CSC,LUGWSINGLES-----------FNL-000400--
2026-02-10T18:45:00+01:00,2026-02-10T19:40:00+01:00,2026-02-10,FINISHED,Ski Jumping,SJP,Mixed Team,0,Mixed Team,X,DGRP,Predazzo Ski Jumping Stadium,PSJ,Predazzo Ski Jumping-Normal Hill,PNH,SJPXNHTEAM4-----------FNL-0001SJ--
2026-02-10T20:00:00+01:00,2026-02-10T20:38:00+01:00,2026-02-10,FINISHED,Ski Jumping,SJP,Mixed Team,1,Mixed Team,X,DGRP,Predazzo Ski Jumping Stadium,PSJ,Predazzo Ski Jumping-Normal Hill,PNH,SJPXNHTEAM4-----------FNL-0002SJ--
2026-02-10T20:10:00+01:00,2026-02-10T22:40:00+01:00,2026-02-10,FINISHED,Ice Hockey,IHO,Women,0,Women's Preliminary Round - Group A,W,TEAM,Milano Santagiulia Ice Hockey Arena,MH1,Milano Santagiulia Ice Hockey Arena,MH1,IHOWTEAM6-------------GPA-000900--
2026-02-10T21:10:00+01:00,2026-02-10T23:40:00+01:00,2026-02-10,FINISHED,Ice Hockey,IHO,Women,0,Women's Preliminary Round - Group A,W,TEAM,Milano Rho Ice Hockey Arena,MH2,Milano Rho Ice Hockey Arena,MH2,IHOWTEAM6-------------GPA-001000--
2026-02-11T09:10:00+01:00,2026-02-11T09:40:00+01:00,2026-02-11,FINISHED,Nordic Combined,NCB,Individual Gundersen Normal Hill/10km,0,Individual Gundersen Normal Hill/10km,M,INDV,Predazzo Ski Jumping Stadium,PSJ,Predazzo Ski Jumping-Normal Hill,PNH,NCBMNH10KM------------FNL-TR01SJ--
2026-02-11T10:00:00+01:00,2026-02-11T10:42:00+01:00,2026-02-11,FINISHED,Nordic Combined,NCB,Individual Gundersen Normal Hill/10km,0,Individual Gundersen Normal Hill/10km,M,INDV,Predazzo Ski Jumping Stadium,PSJ,Predazzo Ski Jumping-Normal Hill,PNH,NCBMNH10KM------------FNL-0001SJ--
2026-02-11T10:00:00+01:00,2026-02-11T10:50:00+01:00,2026-02-11,FINISHED,Skeleton,SKN,Women,0,Women Official Training,W,INDV,Cortina Sliding Centre,CSC,Cortina Sliding Centre,CSC,SKNWSINGLES-----------TRNO000500--
2026-02-11T10:30:00+01:00,2026-02-11T11:25:00+01:00,2026-02-11,FINISHED,Snowboard,SBD,Women's Snowboard Halfpipe,0,Women's Snowboard Halfpipe Qualification,W,INDV,Livigno Snow Park,LSP,Livigno Snow Park-Halfpipe,LHP,SBDWHP----------------QUAL000001--
2026-02-11T11:00:00+01:00,2026-02-11T11:35:00+01:00,2026-02-11,FINISHED,Freestyle Skiing,FRS,Women's Moguls,0,Women's Moguls Qualifications,W,INDV,Livigno Aerials & Moguls Park,LAM,Livigno Aerials & Moguls Park-Moguls & Dual Moguls,LMO,FRSWMO----------------QUAL000200--
2026-02-11T11:02:00+01:00,2026-02-11T11:52:00+01:00,2026-02-11,FINISHED,Skeleton,SKN,Women,0,Women Official Training,W,INDV,Cortina Sliding Centre,CSC,Cortina Sliding Centre,CSC,SKNWSINGLES-----------TRNO000600--
2026-02-11T11:27:00+01:00,2026-02-11T12:22:00+01:00,2026-02-11,FINISHED,Snowboard,SBD,Women's Snowboard Halfpipe,0,Women's Snowboard Halfpipe Qualification,W,INDV,Livigno Snow Park,LSP,Livigno Snow Park-Halfpipe,LHP,SBDWHP----------------QUAL000002--
2026-02-11T11:30:00+01:00,2026-02-11T13:30:00+01:00,2026-02-11,FINISHED,Alpine Skiing,ALP,Men's Super-G,1,Men's Super-G,M,INDV,Stelvio Ski Centre,SSC,Stelvio Ski Centre-Alpine Skiing Course,SAL,ALPMSG----------------FNL-000100--
2026-02-11T12:30:00+01:00,2026-02-11T13:20:00+01:00,2026-02-11,FINISHED,Skeleton,SKN,Men,0,Men Official Training,M,INDV,Cortina Sliding Centre,CSC,Cortina Sliding Centre,CSC,SKNMSINGLES-----------TRNO000500--
2026-02-11T13:32:00+01:00,2026-02-11T14:22:00+01:00,2026-02-11,FINISHED,Skeleton,SKN,Men,0,Men Official Training,M,INDV,Cortina Sliding Centre,CSC,Cortina Sliding Centre,CSC,SKNMSINGLES-----------TRNO000600--
2026-02-11T13:45:00+01:00,2026-02-11T14:15:00+01:00,2026-02-11,FINISHED,Nordic Combined,NCB,Individual Gundersen Normal Hill/10km,1,Individual Gundersen Normal Hill/10km,M,INDV,Tesero Cross-Country Skiing Stadium,TCC,Tesero Cross-Country Skiing Stadium,TCC,NCBMNH10KM------------FNL-0001CC--
2026-02-11T14:15:00+01:00,2026-02-11T15:50:00+01:00,2026-02-11,FINISHED,Biathlon,BTH,Women's 15km Individual,1,Women's 15km Individual,W,INDV,Anterselva Biathlon Arena,ABA,Anterselva Biathlon Arena,ABA,BTHW15KMIS------------FNL-000100--
2026-02-11T14:15:00+01:00,2026-02-11T14:50:00+01:00,2026-02-11,FINISHED,Freestyle Skiing,FRS,Women's Moguls,0,Women's Moguls Finals,W,INDV,Livigno Aerials & Moguls Park,LAM,Livigno Aerials & Moguls Park-Moguls & Dual Moguls,LMO,FRSWMO----------------FNL-000100--
2026-02-11T14:55:00+01:00,2026-02-11T15:11:00+01:00,2026-02-11,FINISHED,Freestyle Skiing,FRS,Women's Moguls,1,Women's Moguls Finals,W,INDV,Livigno Aerials & Moguls Park,LAM,Livigno Aerials & Moguls Park-Moguls & Dual Moguls,LMO,FRSWMO----------------FNL-000200--
2026-02-11T16:40:00+01:00,2026-02-11T19:10:00+01:00,2026-02-11,FINISHED,Ice Hockey,IHO,Men,0,Men's Preliminary Round - Group B,M,TEAM,Milano Santagiulia Ice Hockey Arena,MH1,Milano Santagiulia Ice Hockey Arena,MH1,IHOMTEAM6-------------GPB-000100--
2026-02-11T17:00:00+01:00,2026-02-11T17:20:00+01:00,2026-02-11,FINISHED,Luge,LUG,Women's Doubles,0,Women's Doubles Competition,W,IGRP,Cortina Sliding Centre,CSC,Cortina Sliding Centre,CSC,LUGWDOUBLES-----------FNL-000100--
2026-02-11T17:51:00+01:00,2026-02-11T18:22:00+01:00,2026-02-11,FINISHED,Luge,LUG,Men's Doubles,0,Men's Doubles Competition,M,IGRP,Cortina Sliding Centre,CSC,Cortina Sliding Centre,CSC,LUGMDOUBLES-----------FNL-000100--
2026-02-11T18:30:00+01:00,2026-02-11T19:43:19+01:00,2026-02-11,FINISHED,Speed Skating,SSK,Men's 1000m,1,Men's 1000m,M,INDV,Milano Speed Skating Stadium,MSS,Milano Speed Skating Stadium,MSS,SSKM1000M-------------FNL-000100--
2026-02-11T18:53:00+01:00,2026-02-11T19:14:00+01:00,2026-02-11,FINISHED,Luge,LUG,Women's Doubles,1,Women's Doubles Competition,W,IGRP,Cortina Sliding Centre,CSC,Cortina Sliding Centre,CSC,LUGWDOUBLES-----------FNL-000200--
2026-02-11T19:05:00+01:00,2026-02-11T22:00:00+01:00,2026-02-11,FINISHED,Curling,CUR,Men,0,Men's Round Robin,M,TEAM,Cortina Curling Olympic Stadium,CCU,Cortina Curling Olympic Stadium- Sheet A,CUA,CURMTEAM4-------------PREL000101--
2026-02-11T19:05:00+01:00,2026-02-11T22:00:00+01:00,2026-02-11,FINISHED,Curling,CUR,Men,0,Men's Round Robin,M,TEAM,Cortina Curling Olympic Stadium,CCU,Cortina Curling Olympic Stadium- Sheet B,CUB,CURMTEAM4-------------PREL000102--
2026-02-11T19:05:00+01:00,2026-02-11T22:00:00+01:00,2026-02-11,FINISHED,Curling,CUR,Men,0,Men's Round Robin,M,TEAM,Cortina Curling Olympic Stadium,CCU,Cortina Curling Olympic Stadium- Sheet C,CUC,CURMTEAM4-------------PREL000103--
2026-02-11T19:05:00+01:00,2026-02-11T22:00:00+01:00,2026-02-11,FINISHED,Curling,CUR,Men,0,Men's Round Robin,M,TEAM,Cortina Curling Olympic Stadium,CCU,Cortina Curling Olympic Stadium- Sheet D,CUD,CURMTEAM4-------------PREL000104--
2026-02-11T19:30:00+01:00,2026-02-11T22:51:20+01:00,2026-02-11,FINISHED,Figure Skating,FSK,Ice Dance,1,Ice Dance - Free Dance,X,IGRP,Milano Ice Skating Arena,MSK,Milano Ice Skating Arena-Competition Rink,MSC,FSKXICEDANCE----------FNL-000100--
2026-02-11T19:30:00+01:00,2026-02-11T20:25:00+01:00,2026-02-11,FINISHED,Snowboard,SBD,Men's Snowboard Halfpipe,0,Men's Snowboard Halfpipe Qualification,M,INDV,Livigno Snow Park,LSP,Livigno Snow Park-Halfpipe,LHP,SBDMHP----------------QUAL000001--
2026-02-11T19:44:00+01:00,2026-02-11T20:16:00+01:00,2026-02-11,FINISHED,Luge,LUG,Men's Doubles,1,Men's Doubles Competition,M,IGRP,Cortina Sliding Centre,CSC,Cortina Sliding Centre,CSC,LUGMDOUBLES-----------FNL-000200--
2026-02-11T20:27:00+01:00,2026-02-11T21:22:00+01:00,2026-02-11,FINISHED,Snowboard,SBD,Men's Snowboard Halfpipe,0,Men's Snowboard Halfpipe Qualification,M,INDV,Livigno Snow Park,LSP,Livigno Snow Park-Halfpipe,LHP,SBDMHP----------------QUAL000002--
2026-02-11T21:10:00+01:00,2026-02-11T23:40:00+01:00,2026-02-11,FINISHED,Ice Hockey,IHO,Men,0,Men's Preliminary Round - Group B,M,TEAM,Milano Santagiulia Ice Hockey Arena,MH1,Milano Santagiulia Ice Hockey Arena,MH1,IHOMTEAM6-------------GPB-000200--
